X_SL_ATR,Y_TP_ATR,hit,bars_held,return_pct
2.0,2.0,SL,9,-0.004429723494746304
2.0,2.5,SL,2,-0.004386343651009543
2.0,3.5,TIMEOUT,16,0.00751908239990632
2.0,1.5,TP,9,0.010346756296449171
1.5,3.5,TIMEOUT,16,-0.002317758881101593
1.0,3.5,SL,5,-0.002742695017623128
1.0,3.5,SL,1,-0.0015154106095503215
1.75,1.5,SL,10,-0.006491694908367853
1.0,1.5,SL,8,-0.005095528395784521
2.0,1.5,TIMEOUT,16,-0.002374060210708853
2.0,1.5,SL,1,-0.0037576797197978557
1.75,2.0,TP,3,0.005531454853172486
1.25,1.5,SL,12,-0.002998469081738926
1.25,3.0,SL,8,-0.0060993045492347625
1.0,2.5,SL,3,-0.0033116893762324207
1.0,3.5,TIMEOUT,16,0.003248635928137156
1.25,3.0,TIMEOUT,16,0.00044248411765019095
1.75,1.5,TP,6,0.006442629741726404
1.5,3.5,TP,7,0.007777434042197133
2.0,3.0,TP,11,0.019633734296668644
1.25,2.5,TIMEOUT,16,0.0058510288606929695
1.0,2.0,SL,4,-0.004447644340480646
1.25,1.5,SL,12,-0.0035108044257063666
1.0,2.5,SL,2,-0.001809165229332051
1.75,1.5,SL,6,-0.004414410724733074
1.75,1.5,TP,6,0.006458836718922828
1.0,1.5,TP,6,0.006281455880987079
1.5,3.0,TIMEOUT,16,-0.0005259885503213612
1.5,2.0,SL,4,-0.00506229425191538
1.5,3.0,TIMEOUT,16,0.0007991974824094512
2.0,3.0,SL,11,-0.008703113932128907
1.75,3.0,TP,10,0.0060507984444429985
2.0,2.0,TP,15,0.006049653871243175
1.75,3.0,SL,5,-0.012152307232864359
1.75,3.0,SL,4,-0.0038934717385316
1.25,3.5,SL,3,-0.003693156994948617
1.25,2.5,SL,2,-0.0034835807312748046
1.5,2.5,TIMEOUT,16,0.001679176804191916
1.25,3.5,TP,8,0.006600980940399996
1.25,1.5,SL,2,-0.003582658193199206
1.25,2.0,TP,14,0.00604144068540057
1.0,2.5,SL,10,-0.0028868736073630473
1.75,3.0,SL,5,-0.004038979148814378
2.0,1.5,SL,7,-0.007350632865155772
1.25,3.5,SL,1,-0.0014304549411982357
1.0,1.5,SL,3,-0.0021344248579941182
1.75,2.5,TIMEOUT,16,0.00012293980572466052
2.0,3.5,SL,1,-0.005168175827466772
1.75,1.5,TP,2,0.005589632261075902
1.75,3.5,SL,10,-0.0049923268387148684
1.75,3.0,SL,12,-0.007059839438176933
1.0,2.5,SL,1,-0.0013239202755820517
1.25,3.0,TP,5,0.013776850599262013
1.0,2.5,TP,16,0.006337852150312003
1.5,2.5,SL,15,-0.0036671311088200256
1.5,3.0,SL,13,-0.0034544607379420143
1.0,3.5,SL,7,-0.0021909822303136702
1.75,3.5,SL,7,-0.0027396387566507763
1.75,1.5,SL,5,-0.002488928654883008
1.0,3.5,TP,10,0.001873241989532621
1.0,3.5,SL,2,-0.005188664637586991
1.25,2.5,TP,11,0.006912120036115162
1.5,2.5,TIMEOUT,16,-0.0026539847290841965
1.0,1.5,SL,4,-0.006286606347359024
2.0,3.0,TIMEOUT,16,-0.0026336098839623793
1.25,2.5,SL,2,-0.0018582807411828726
1.5,2.0,SL,1,-0.0020136283744927774
1.5,2.5,SL,7,-0.0035899046447458952
1.0,2.0,SL,2,-0.002742399069126568
1.75,3.5,TP,2,0.011934009284839493
1.75,3.5,TIMEOUT,16,0.010008593177242077
2.0,2.0,TP,3,0.012305903124531994
1.0,3.5,TP,11,0.008372933884297431
1.25,3.0,SL,1,-0.002397194667029575
1.0,1.5,SL,4,-0.002302302423704148
1.5,2.5,TP,4,0.013306546023008263
1.0,3.5,SL,7,-0.0015056445162613267
1.75,3.0,SL,11,-0.0031909701946386797
1.25,3.0,SL,8,-0.0015331340405163008
1.75,2.5,TP,8,0.0066611581792443576
1.25,3.0,SL,7,-0.0022103319005086267
1.75,3.5,TP,7,0.006897341849477099
1.5,3.0,TP,8,0.003373971749897232
1.25,2.0,SL,11,-0.0032400947850968398
2.0,3.5,TP,7,0.008454321951433974
1.5,1.5,TP,10,0.00281940712674746
1.0,2.5,SL,15,-0.0019431502852372625
1.0,3.0,TP,4,0.004850834199040062
1.25,3.5,TP,9,0.006631776131346763
2.0,2.0,TIMEOUT,16,-0.0031045699122857827
1.5,2.0,SL,6,-0.006165696997176606
1.75,2.0,TIMEOUT,16,-0.0019561681149269598
1.5,3.0,SL,9,-0.006712850999634516
1.75,3.5,SL,3,-0.007099534697620274
1.75,3.0,TIMEOUT,16,-0.002231047372289616
1.0,3.5,TP,7,0.007014978434865634
1.5,2.5,TP,6,0.004241896435933258
1.0,2.5,TP,16,0.007551800856750681
1.0,1.5,TP,5,0.003075432616842518
1.5,2.5,TIMEOUT,16,0.005093582912775729
1.0,3.0,TP,10,0.005874582180397359
2.0,2.0,TIMEOUT,16,-0.0004448048402190499
