side,entry_idx,exit_idx,entry,exit,pnl,hold_bars,reason,timestamp_entry,timestamp_exit
short,88,90,94818.0,94396.35428571429,421.6457142857107,2,tp,2025-05-06 16:15:00+00:00,2025-05-06 16:45:00+00:00
short,117,118,96628.24,96898.77714285714,-270.53714285713795,1,sl,2025-05-06 23:30:00+00:00,2025-05-06 23:45:00+00:00
long,292,295,101065.28,101599.01714285715,533.7371428571496,3,tp,2025-05-08 19:15:00+00:00,2025-05-08 20:00:00+00:00
long,296,297,101434.38,101944.66571428571,510.2857142857101,1,tp,2025-05-08 20:15:00+00:00,2025-05-08 20:30:00+00:00
long,304,309,102566.0,102850.0,284.0,4,time,2025-05-08 22:15:00+00:00,2025-05-08 23:30:00+00:00
long,382,387,103126.0,103176.46,50.4600000000064,4,time,2025-05-09 17:45:00+00:00,2025-05-09 19:00:00+00:00
short,629,630,105452.23,104993.82485714286,458.40514285714016,1,tp,2025-05-12 07:30:00+00:00,2025-05-12 07:45:00+00:00
long,673,674,101643.51,101235.41357142857,-408.096428571429,1,sl,2025-05-12 18:30:00+00:00,2025-05-12 18:45:00+00:00
long,861,864,102880.67,103420.12257142857,539.4525714285701,3,tp,2025-05-14 17:30:00+00:00,2025-05-14 18:15:00+00:00
short,955,960,103846.28,103922.7,-76.41999999999825,4,time,2025-05-15 17:00:00+00:00,2025-05-15 18:15:00+00:00
short,1244,1245,105818.63,105399.0422857143,419.58771428570617,1,tp,2025-05-18 17:15:00+00:00,2025-05-18 17:30:00+00:00
long,1248,1253,104317.41,104544.2,226.7899999999936,4,time,2025-05-18 18:15:00+00:00,2025-05-18 19:30:00+00:00
short,1267,1270,105928.11,106284.258,-356.14800000000105,3,sl,2025-05-18 23:00:00+00:00,2025-05-18 23:45:00+00:00
short,1272,1273,106542.32,105910.75314285715,631.5668571428541,1,tp,2025-05-19 00:15:00+00:00,2025-05-19 00:30:00+00:00
long,1291,1293,103002.07,102564.99428571429,-437.0757142857183,2,sl,2025-05-19 05:00:00+00:00,2025-05-19 05:30:00+00:00
long,1309,1311,103239.99,102900.94642857143,-339.04357142857043,2,sl,2025-05-19 09:30:00+00:00,2025-05-19 10:00:00+00:00
